;Codigo Municipio;Nombre;Clase;CodProv
243;3901;POBLETS (ELS);396;3
244;3107;POLOP;413;3
245;3060;QUATRETONDETA;21;3
246;3109;RAFAL;354;3
247;3110;RAFOL D'ALMUNIA (EL);56;3
248;3111;REDOVAN;816;3
249;3112;RELLEU;102;3
250;3113;ROJALES;2286;3
251;3114;ROMANA (LA);249;3
252;3115;SAGRA;25;3
253;3116;SALINAS;77;3
254;3118;SAN FULGENCIO;1372;3
255;3904;SAN ISIDRO;515;3
256;3120;SAN MIGUEL DE SALINAS;966;3
257;3122;SAN VICENTE DEL RASPEIG;7354;3
258;3117;SANET Y NEGRALS;70;3
259;3119;SAN JUAN DE ALICANTE;4176;3
260;3121;SANTA POLA;6920;3
261;3123;SAX;1334;3
262;3124;SELLA;53;3
263;3125;SENIJA;60;3
264;3127;TARBENA;28;3
265;3128;TEULADA;2566;3
266;3129;TIBI;228;3
267;3130;TOLLOS;18;3
268;3131;TORMOS;25;3
269;3132;TORREMANZANAS;67;3
270;3133;TORREVIEJA;25592;3
271;3134;VALL D'ALCALA (LA);11;3
272;3136;VALL DE GALLINERA;81;3
273;3137;VALL DE LAGUART;60;3
274;3135;VALL DE EBO;18;3
275;3138;VERGER (EL);795;3
276;3139;VILLAJOYOSA;5544;3
277;3140;VILLENA;4487;3
278;3081;JALON;627;3
279;4001;ABLA;105;4
280;4002;ABRUCENA;179;4
281;4003;ADRA;2639;4
282;4004;ALBANCHEZ;28;4
283;4005;ALBOLODUY;28;4
284;4006;ALBOX;1155;4
285;4007;ALCOLEA;53;4
286;4008;ALCONTAR;28;4
287;4009;ALCUDIA DE MONTEAGUD;4;4
288;4010;ALHABIA;32;4
289;4011;ALHAMA DE ALMERIA;476;4
290;4012;ALICUN;28;4
291;4013;ALMERIA;2097;4
292;4014;ALMOCITA;0;4
293;4015;ALSODUX;18;4
294;4016;ANTAS;413;4
295;4017;ARBOLEAS;161;4
296;4018;ARMUÑA DE ALMANZORA;35;4
297;4019;BACARES;0;4
298;4904;BALANEGRA;210;4
299;4020;BAYARCAL;18;4
300;4021;BAYARQUE;7;4
301;4022;BEDAR;28;4
302;4023;BEIRES;18;4
303;4024;BENAHADUX;350;4
304;4026;BENITAGLA;4;4
305;4027;BENIZALON;7;4
306;4028;BENTARIQUE;14;4
307;4029;BERJA;1197;4
308;4030;CANJAYAR;277;4
309;4031;CANTORIA;207;4
310;4032;CARBONERAS;970;4
311;4033;CASTRO DE FILABRES;4;4
312;4036;CHERCOS;0;4
313;4037;CHIRIVEL;91;4
314;4034;COBDAR;7;4
315;4035;CUEVAS DEL ALMANZORA;2160;4
316;4038;DALIAS;326;4
317;4902;EJIDO (EL);6706;4
318;4041;ENIX;70;4
319;4043;FELIX;84;4
320;4044;FINES;130;4
321;4045;FIÑANA;158;4
322;4046;FONDON;116;4
323;4047;GADOR;266;4
324;4048;GALLARDOS (LOS);238;4
325;4049;GARRUCHA;907;4
326;4050;GERGAL;182;4
327;4051;HUECIJA;28;4
328;4052;HUERCAL DE ALMERIA;1719;4
329;4053;HUERCAL-OVERA;1918;4
330;4054;ILLAR;32;4
331;4055;INSTINCION;60;4
332;4056;LAROYA;4;4
333;4057;LAUJAR DE ANDARAX;172;4
334;4058;LIJAR;28;4
335;4059;LUBRIN;116;4
336;4060;LUCAINENA DE LAS TORRES;53;4
337;4061;LUCAR;77;4
338;4062;MACAEL;312;4
339;4063;MARIA;109;4
340;4064;MOJACAR;1460;4
341;4903;MOJONERA (LA);1533;4
342;4065;NACIMIENTO;88;4
343;4066;NIJAR;5845;4
344;4067;OHANES;39;4
345;4068;OLULA DE CASTRO;11;4
346;4069;OLULA DEL RIO;452;4
347;4070;ORIA;298;4
348;4071;PADULES;18;4
349;4072;PARTALOA;105;4
350;4073;PATERNA DEL RIO;60;4
351;4074;PECHINA;466;4
352;4075;PULPI;1330;4
353;4076;PURCHENA;109;4
354;4077;RAGOL;14;4
355;4078;RIOJA;165;4
356;4079;ROQUETAS DE MAR;21018;4
357;4080;SANTA CRUZ DE MARCHENA;0;4
358;4081;SANTA FE DE MONDUJAR;77;4
359;4082;SENES;46;4
360;4083;SERON;88;4
361;4084;SIERRO;18;4
362;4085;SOMONTIN;21;4
363;4086;SORBAS;329;4
364;4087;SUFLI;4;4
365;4088;TABERNAS;364;4
366;4089;TABERNO;67;4
367;4090;TAHAL;60;4
368;4091;TERQUE;32;4
369;4092;TIJOLA;179;4
370;4901;TRES VILLAS (LAS);88;4
371;4093;TURRE;291;4
372;4094;TURRILLAS;21;4
373;4095;ULEILA DEL CAMPO;25;4
374;4096;URRACAL;35;4
375;4097;VELEFIQUE;7;4
376;4098;VELEZ-BLANCO;98;4
377;4099;VELEZ-RUBIO;417;4
378;4100;VERA;2478;4
379;4101;VIATOR;634;4
380;4102;VICAR;4624;4
381;4103;ZURGENA;249;4
382;5001;ADANERO;74;5
383;5002;ADRADA (LA);466;5
384;5005;ALBORNOS;4;5
385;5007;ALDEANUEVA DE SANTA CRUZ;11;5
386;5008;ALDEASECA;14;5
387;5010;ALDEHUELA (LA);18;5
388;5012;AMAVIDA;7;5
389;5013;ARENAL (EL);21;5
390;5014;ARENAS DE SAN PEDRO;651;5
391;5015;AREVALILLO;7;5
392;5016;AREVALO;861;5
393;5017;AVEINTE;0;5
394;5018;AVELLANEDA;0;5
395;5019;AVILA;235;5
396;5021;BARCO DE AVILA (EL);200;5
397;5022;BARRACO (EL);193;5
398;5023;BARROMAN;4;5
399;5024;BECEDAS;21;5
400;5025;BECEDILLAS;0;5
401;5026;BERCIAL DE ZAPARDIEL;7;5
402;5027;BERLANAS (LAS);21;5
403;5029;BERNUY-ZAPARDIEL;0;5
404;5030;BERROCALEJO DE ARAGONA;21;5
405;5033;BLASCOMILLAN;4;5
406;5034;BLASCONUÑO DE MATACABRAS;4;5
407;5035;BLASCOSANCHO;39;5
408;5036;BOHODON (EL);4;5
409;5037;BOHOYO;4;5
410;5038;BONILLA DE LA SIERRA;7;5
411;5039;BRABOS;0;5
412;5040;BULARROS;0;5
413;5041;BURGOHONDO;98;5
414;5042;CABEZAS DE ALAMBRE;14;5
415;5043;CABEZAS DEL POZO;4;5
416;5044;CABEZAS DEL VILLAR;7;5
417;5045;CABIZUELA;11;5
418;5046;CANALES;4;5
419;5047;CANDELEDA;669;5
420;5048;CANTIVEROS;7;5
421;5049;CARDEÑOSA;14;5
422;5051;CARRERA (LA);4;5
423;5052;CASAS DEL PUERTO DE VILLATORO;4;5
424;5053;CASASOLA;0;5
425;5054;CASAVIEJA;137;5
426;5055;CASILLAS;39;5
427;5056;CASTELLANOS DE ZAPARDIEL;0;5
428;5057;CEBREROS;445;5
429;5058;CEPEDA LA MORA;0;5
430;5067;CHAMARTIN;7;5
431;5059;CILLAN;0;5
432;5060;CISLA;14;5
433;5061;COLILLA (LA);18;5
434;5062;COLLADO DE CONTRERAS;14;5
435;5063;COLLADO DEL MIRON;0;5
436;5064;CONSTANZANA;4;5
437;5065;CRESPOS;28;5
438;5066;CUEVAS DEL VALLE;35;5
439;5903;DIEGO DEL CARPIO;11;5
440;5069;DONJIMENO;0;5
441;5070;DONVIDAS;0;5
442;5072;ESPINOSA DE LOS CABALLEROS;53;5
443;5073;FLORES DE AVILA;7;5
444;5074;FONTIVEROS;63;5
445;5075;FRESNEDILLA;18;5
446;5076;FRESNO (EL);46;5
447;5077;FUENTE EL SAUZ;14;5
448;5078;FUENTES DE AÑO;4;5
449;5079;GALLEGOS DE ALTAMIROS;0;5
450;5080;GALLEGOS DE SOBRINOS;0;5
451;5081;GARGANTA DEL VILLAR;0;5
452;5082;GAVILANES;7;5
453;5083;GEMUÑO;7;5
454;5085;GIL GARCIA;0;5
455;5084;GILBUENA;0;5
456;5086;GIMIALCON;7;5
457;5087;GOTARRENDURA;4;5
458;5088;GRANDES Y SAN MARTIN;0;5
459;5089;GUISANDO;60;5
460;5090;GUTIERRE-MUÑOZ;14;5
461;5092;HERNANSANCHO;7;5
462;5093;HERRADON DE PINARES;238;5
463;5094;HERREROS DE SUSO;0;5
464;5095;HIGUERA DE LAS DUEÑAS;14;5
465;5096;HIJA DE DIOS (LA);11;5
466;5097;HORCAJADA (LA);53;5
467;5099;HORCAJO DE LAS TORRES;18;5
468;5100;HORNILLO (EL);32;5
469;5102;HOYO DE PINARES (EL);235;5
470;5101;HOYOCASERO;11;5
471;5103;HOYORREDONDO;4;5
472;5106;HOYOS DE MIGUEL MUÑOZ;0;5
473;5104;HOYOS DEL COLLADO;0;5
474;5105;HOYOS DEL ESPINO;18;5
475;5107;HURTUMPASCUAL;4;5
476;5108;JUNCIANA;0;5
477;5109;LANGA;14;5
478;5110;LANZAHITA;116;5
479;5113;LLANOS DE TORMES (LOS);7;5
480;5112;LOSAR DEL BARCO (EL);0;5
481;5114;MADRIGAL DE LAS ALTAS TORRES;95;5
482;5115;MAELLO;95;5
483;5116;MALPARTIDA DE CORNEJA;11;5
484;5117;MAMBLAS;14;5
485;5118;MANCERA DE ARRIBA;0;5
486;5119;MANJABÁLAGO;0;5
487;5120;MARLIN;0;5
488;5121;MARTIHERRERO;7;5
489;5122;MARTINEZ;0;5
490;5123;MEDIANA DE VOLTOYA;4;5
491;5124;MEDINILLA;14;5
492;5125;MENGAMUÑOZ;7;5
493;5126;MESEGAR DE CORNEJA;4;5
494;5127;MIJARES;119;5
495;5128;MINGORRIA;18;5
496;5129;MIRON (EL);4;5
497;5130;MIRONCILLO;0;5
498;5131;MIRUEÑA DE LOS INFANZONES;7;5
499;5132;MOMBELTRAN;84;5
500;5133;MONSALUPE;4;5
501;5134;MORALEJA DE MATACABRAS;0;5
502;5135;MUÑANA;25;5
503;5136;MUÑICO;7;5
504;5138;MUÑOGALINDO;74;5
505;5139;MUÑOGRANDE;14;5
506;5140;MUÑOMER DEL PECO;0;5
507;5141;MUÑOPEPE;7;5
508;5142;MUÑOSANCHO;4;5
509;5143;MUÑOTELLO;0;5
510;5144;NARRILLOS DEL ALAMO;4;5
511;5145;NARRILLOS DEL REBOLLAR;0;5
512;5149;NARROS DE SALDUEÑA;4;5
513;5147;NARROS DEL CASTILLO;4;5
514;5148;NARROS DEL PUERTO;4;5
515;5152;NAVA DE AREVALO;49;5
516;5153;NAVA DEL BARCO;0;5
517;5151;NAVACEPEDILLA DE CORNEJA;0;5
518;5154;NAVADIJOS;4;5
519;5155;NAVAESCURIAL;4;5
520;5156;NAVAHONDILLA;28;5
521;5157;NAVALACRUZ;7;5
522;5158;NAVALMORAL;28;5
523;5159;NAVALONGUILLA;11;5
524;5160;NAVALOSA;25;5
525;5161;NAVALPERAL DE PINARES;186;5
526;5162;NAVALPERAL DE TORMES;4;5
527;5163;NAVALUENGA;305;5
528;5164;NAVAQUESERA;0;5
529;5165;NAVARREDONDA DE GREDOS;14;5
