;Comunidad Autónoma;Provincia;Municipio;Código;CodProv;Codigo_Mapa
138;Castilla-La Mancha;ALBACETE;RIOPAR;02067;02;02067
139;Castilla-La Mancha;ALBACETE;ROBLEDO;02068;02;02068
140;Castilla-La Mancha;ALBACETE;RODA (LA);02069;02;02069
141;Castilla-La Mancha;ALBACETE;SALOBRE;02070;02;02070
142;Castilla-La Mancha;ALBACETE;SAN PEDRO;02071;02;02071
143;Castilla-La Mancha;ALBACETE;SOCOVOS;02072;02;02072
144;Castilla-La Mancha;ALBACETE;TARAZONA DE LA MANCHA;02073;02;02073
145;Castilla-La Mancha;ALBACETE;TOBARRA;02074;02;02074
146;Castilla-La Mancha;ALBACETE;VALDEGANGA;02075;02;02075
147;Castilla-La Mancha;ALBACETE;VIANOS;02076;02;02076
148;Castilla-La Mancha;ALBACETE;VILLA DE VES;02077;02;02077
149;Castilla-La Mancha;ALBACETE;VILLALGORDO DEL JUCAR;02078;02;02078
150;Castilla-La Mancha;ALBACETE;VILLAMALEA;02079;02;02079
151;Castilla-La Mancha;ALBACETE;VILLAPALACIOS;02080;02;02080
152;Castilla-La Mancha;ALBACETE;VILLARROBLEDO;02081;02;02081
153;Castilla-La Mancha;ALBACETE;VILLATOYA;02082;02;02082
154;Castilla-La Mancha;ALBACETE;VILLAVALIENTE;02083;02;02083
155;Castilla-La Mancha;ALBACETE;VILLAVERDE DE GUADALIMAR;02084;02;02084
156;Castilla-La Mancha;ALBACETE;VIVEROS;02085;02;02085
157;Castilla-La Mancha;ALBACETE;YESTE;02086;02;02086
158;Castilla-La Mancha;ALBACETE;POZO CAÑADA;02087;02;02901
159;Castilla-La Mancha;ALBACETE;ALBACETE;02900;02;02003
160;Comunidad Valenciana;ALICANTE;ADSUBIA;03001;03;03001
161;Comunidad Valenciana;ALICANTE;AGOST;03002;03;03002
162;Comunidad Valenciana;ALICANTE;AGRES;03003;03;03003
163;Comunidad Valenciana;ALICANTE;AIGUES;03004;03;03004
164;Comunidad Valenciana;ALICANTE;ALBATERA;03005;03;03005
165;Comunidad Valenciana;ALICANTE;ALCALALI;03006;03;03006
166;Comunidad Valenciana;ALICANTE;ALCOCER DE PLANES;03007;03;03007
167;Comunidad Valenciana;ALICANTE;ALCOLEJA;03008;03;03008
168;Comunidad Valenciana;ALICANTE;ALCOY;03009;03;03009
169;Comunidad Valenciana;ALICANTE;ALFAFARA;03010;03;03010
170;Comunidad Valenciana;ALICANTE;ALFAS DEL PI (L');03011;03;03011
171;Comunidad Valenciana;ALICANTE;ALGORFA;03012;03;03012
172;Comunidad Valenciana;ALICANTE;ALGUEÑA;03013;03;03013
173;Comunidad Valenciana;ALICANTE;ALMORADI;03015;03;03015
174;Comunidad Valenciana;ALICANTE;ALMUDAINA;03016;03;03016
175;Comunidad Valenciana;ALICANTE;ALQUERIA D'ASNAR (L');03017;03;03017
176;Comunidad Valenciana;ALICANTE;ALTEA;03018;03;03018
177;Comunidad Valenciana;ALICANTE;ASPE;03019;03;03019
178;Comunidad Valenciana;ALICANTE;BALONES;03020;03;03020
179;Comunidad Valenciana;ALICANTE;BANYERES DE MARIOLA;03021;03;03021
180;Comunidad Valenciana;ALICANTE;BENASAU;03022;03;03022
181;Comunidad Valenciana;ALICANTE;BENEIXAMA;03023;03;03023
182;Comunidad Valenciana;ALICANTE;BENEJUZAR;03024;03;03024
183;Comunidad Valenciana;ALICANTE;BENFERRI;03025;03;03025
184;Comunidad Valenciana;ALICANTE;BENIARBEIG;03026;03;03026
185;Comunidad Valenciana;ALICANTE;BENIARDA;03027;03;03027
186;Comunidad Valenciana;ALICANTE;BENIARRES;03028;03;03028
187;Comunidad Valenciana;ALICANTE;BENICHEMBLA;03029;03;03029
188;Comunidad Valenciana;ALICANTE;BENIDOLEIG;03030;03;03030
189;Comunidad Valenciana;ALICANTE;BENIDORM;03031;03;03031
190;Comunidad Valenciana;ALICANTE;BENIFALLIM;03032;03;03032
191;Comunidad Valenciana;ALICANTE;BENIFATO;03033;03;03033
192;Comunidad Valenciana;ALICANTE;BENIJOFAR;03034;03;03034
193;Comunidad Valenciana;ALICANTE;BENILLOBA;03035;03;03035
194;Comunidad Valenciana;ALICANTE;BENILLUP;03036;03;03036
195;Comunidad Valenciana;ALICANTE;BENIMANTELL;03037;03;03037
196;Comunidad Valenciana;ALICANTE;BENIMARFULL;03038;03;03038
197;Comunidad Valenciana;ALICANTE;BENIMASSOT;03039;03;03039
198;Comunidad Valenciana;ALICANTE;BENIMELI;03040;03;03040
199;Comunidad Valenciana;ALICANTE;BENISSA;03041;03;03041
200;Comunidad Valenciana;ALICANTE;EL POBLE NOU DE BENITATXELL;03042;03;03042
201;Comunidad Valenciana;ALICANTE;BIAR;03043;03;03043
202;Comunidad Valenciana;ALICANTE;BIGASTRO;03044;03;03044
203;Comunidad Valenciana;ALICANTE;BOLULLA;03045;03;03045
204;Comunidad Valenciana;ALICANTE;BUSOT;03046;03;03046
205;Comunidad Valenciana;ALICANTE;CALPE;03047;03;03047
206;Comunidad Valenciana;ALICANTE;CALLOSA D'EN SARRIA;03048;03;03048
207;Comunidad Valenciana;ALICANTE;CALLOSA DE SEGURA;03049;03;03049
208;Comunidad Valenciana;ALICANTE;CAMPELLO (EL);03050;03;03050
209;Comunidad Valenciana;ALICANTE;CAMPO DE MIRRA;03051;03;03051
210;Comunidad Valenciana;ALICANTE;CAÑADA;03052;03;03052
211;Comunidad Valenciana;ALICANTE;CASTALLA;03053;03;03053
212;Comunidad Valenciana;ALICANTE;CASTELL DE CASTELLS;03054;03;03054
213;Comunidad Valenciana;ALICANTE;CATRAL;03055;03;03055
214;Comunidad Valenciana;ALICANTE;COCENTAINA;03056;03;03056
215;Comunidad Valenciana;ALICANTE;CONFRIDES;03057;03;03057
216;Comunidad Valenciana;ALICANTE;COX;03058;03;03058
217;Comunidad Valenciana;ALICANTE;CREVILLENTE;03059;03;03059
218;Comunidad Valenciana;ALICANTE;QUATRETONDETA;03060;03;03060
219;Comunidad Valenciana;ALICANTE;DAYA NUEVA;03061;03;03061
220;Comunidad Valenciana;ALICANTE;DAYA VIEJA;03062;03;03062
221;Comunidad Valenciana;ALICANTE;DENIA;03063;03;03063
222;Comunidad Valenciana;ALICANTE;DOLORES;03064;03;03064
223;Comunidad Valenciana;ALICANTE;ELCHE;03065;03;03065
224;Comunidad Valenciana;ALICANTE;ELDA;03066;03;03066
225;Comunidad Valenciana;ALICANTE;FACHECA;03067;03;03067
226;Comunidad Valenciana;ALICANTE;FAMORCA;03068;03;03068
227;Comunidad Valenciana;ALICANTE;FINESTRAT;03069;03;03069
228;Comunidad Valenciana;ALICANTE;FORMENTERA DEL SEGURA;03070;03;03070
229;Comunidad Valenciana;ALICANTE;GATA DE GORGOS;03071;03;03071
230;Comunidad Valenciana;ALICANTE;GAIANES;03072;03;03072
231;Comunidad Valenciana;ALICANTE;GORGA;03073;03;03073
232;Comunidad Valenciana;ALICANTE;GRANJA DE ROCAMORA;03074;03;03074
233;Comunidad Valenciana;ALICANTE;GUADALEST;03075;03;03075
234;Comunidad Valenciana;ALICANTE;GUARDAMAR DEL SEGURA;03076;03;03076
235;Comunidad Valenciana;ALICANTE;HONDON DE LAS NIEVES;03077;03;03077
236;Comunidad Valenciana;ALICANTE;HONDON DE LOS FRAILES;03078;03;03078
237;Comunidad Valenciana;ALICANTE;IBI;03079;03;03079
238;Comunidad Valenciana;ALICANTE;JACARILLA;03080;03;03080
239;Comunidad Valenciana;ALICANTE;JALON;03081;03;03081
240;Comunidad Valenciana;ALICANTE;JAVEA;03082;03;03082
241;Comunidad Valenciana;ALICANTE;JIJONA;03083;03;03083
242;Comunidad Valenciana;ALICANTE;LORCHA;03084;03;03084
243;Comunidad Valenciana;ALICANTE;LLIBER;03085;03;03085
244;Comunidad Valenciana;ALICANTE;MILLENA;03086;03;03086
245;Comunidad Valenciana;ALICANTE;MONFORTE DEL CID;03088;03;03088
246;Comunidad Valenciana;ALICANTE;MONOVAR;03089;03;03089
247;Comunidad Valenciana;ALICANTE;MUTXAMEL;03090;03;03090
248;Comunidad Valenciana;ALICANTE;MURLA;03091;03;03091
249;Comunidad Valenciana;ALICANTE;MURO DE ALCOY;03092;03;03092
250;Comunidad Valenciana;ALICANTE;NOVELDA;03093;03;03093
251;Comunidad Valenciana;ALICANTE;NUCIA (LA);03094;03;03094
252;Comunidad Valenciana;ALICANTE;ONDARA;03095;03;03095
253;Comunidad Valenciana;ALICANTE;ONIL;03096;03;03096
254;Comunidad Valenciana;ALICANTE;ORBA;03097;03;03097
255;Comunidad Valenciana;ALICANTE;ORXETA;03098;03;03098
256;Comunidad Valenciana;ALICANTE;ORIHUELA;03099;03;03099
257;Comunidad Valenciana;ALICANTE;PARCENT;03100;03;03100
258;Comunidad Valenciana;ALICANTE;PEDREGUER;03101;03;03101
259;Comunidad Valenciana;ALICANTE;PEGO;03102;03;03102
260;Comunidad Valenciana;ALICANTE;PENAGUILA;03103;03;03103
261;Comunidad Valenciana;ALICANTE;PETRER;03104;03;03104
262;Comunidad Valenciana;ALICANTE;PINOSO;03105;03;03105
263;Comunidad Valenciana;ALICANTE;PLANES;03106;03;03106
264;Comunidad Valenciana;ALICANTE;POLOP;03107;03;03107
265;Comunidad Valenciana;ALICANTE;RAFAL;03109;03;03109
266;Comunidad Valenciana;ALICANTE;RAFOL D'ALMUNIA (EL);03110;03;03110
267;Comunidad Valenciana;ALICANTE;REDOVAN;03111;03;03111
268;Comunidad Valenciana;ALICANTE;RELLEU;03112;03;03112
269;Comunidad Valenciana;ALICANTE;ROJALES;03113;03;03113
270;Comunidad Valenciana;ALICANTE;ROMANA (LA);03114;03;03114
271;Comunidad Valenciana;ALICANTE;SAGRA;03115;03;03115
272;Comunidad Valenciana;ALICANTE;SALINAS;03116;03;03116
273;Comunidad Valenciana;ALICANTE;SANET Y NEGRALS;03117;03;03117
274;Comunidad Valenciana;ALICANTE;SAN FULGENCIO;03118;03;03118
275;Comunidad Valenciana;ALICANTE;SAN JUAN DE ALICANTE;03119;03;03119
276;Comunidad Valenciana;ALICANTE;SAN MIGUEL DE SALINAS;03120;03;03120
277;Comunidad Valenciana;ALICANTE;SANTA POLA;03121;03;03121
278;Comunidad Valenciana;ALICANTE;SAN VICENTE DEL RASPEIG;03122;03;03122
279;Comunidad Valenciana;ALICANTE;SAX;03123;03;03123
280;Comunidad Valenciana;ALICANTE;SELLA;03124;03;03124
281;Comunidad Valenciana;ALICANTE;SENIJA;03125;03;03125
282;Comunidad Valenciana;ALICANTE;POBLETS (ELS);03126;03;03901
283;Comunidad Valenciana;ALICANTE;TARBENA;03127;03;03127
284;Comunidad Valenciana;ALICANTE;TEULADA;03128;03;03128
285;Comunidad Valenciana;ALICANTE;TIBI;03129;03;03129
286;Comunidad Valenciana;ALICANTE;TOLLOS;03130;03;03130
287;Comunidad Valenciana;ALICANTE;TORMOS;03131;03;03131
288;Comunidad Valenciana;ALICANTE;TORREMANZANAS;03132;03;03132
289;Comunidad Valenciana;ALICANTE;TORREVIEJA;03133;03;03133
290;Comunidad Valenciana;ALICANTE;VALL D'ALCALA (LA);03134;03;03134
291;Comunidad Valenciana;ALICANTE;VALL DE EBO;03135;03;03135
292;Comunidad Valenciana;ALICANTE;VALL DE GALLINERA;03136;03;03136
293;Comunidad Valenciana;ALICANTE;VALL DE LAGUART;03137;03;03137
294;Comunidad Valenciana;ALICANTE;VERGER (EL);03138;03;03138
295;Comunidad Valenciana;ALICANTE;VILLAJOYOSA;03139;03;03139
296;Comunidad Valenciana;ALICANTE;VILLENA;03140;03;03140
297;Comunidad Valenciana;ALICANTE;MONTESINOS (LOS);03141;03;03903
298;Comunidad Valenciana;ALICANTE;PILAR DE LA HORADADA;03142;03;03902
299;Comunidad Valenciana;ALICANTE;SAN ISIDRO;03143;03;03904
300;Comunidad Valenciana;ALICANTE;SAN ISIDRO;03349;03;03904
301;Comunidad Valenciana;ALICANTE;ALACANT-ALICANTE;03900;03;03014
302;Andalucía;ALMERIA;ABLA;04001;04;04001
303;Andalucía;ALMERIA;ABRUCENA;04002;04;04002
304;Andalucía;ALMERIA;ADRA;04003;04;04003
305;Andalucía;ALMERIA;ALBANCHEZ;04004;04;04004
306;Andalucía;ALMERIA;ALBOLODUY;04005;04;04005
307;Andalucía;ALMERIA;ALBOX;04006;04;04006
308;Andalucía;ALMERIA;ALCOLEA;04007;04;04007
309;Andalucía;ALMERIA;ALCONTAR;04008;04;04008
310;Andalucía;ALMERIA;ALCUDIA DE MONTEAGUD;04009;04;04009
311;Andalucía;ALMERIA;ALHABIA;04010;04;04010
312;Andalucía;ALMERIA;ALHAMA DE ALMERIA;04011;04;04011
313;Andalucía;ALMERIA;ALICUN;04012;04;04012
314;Andalucía;ALMERIA;ALMOCITA;04014;04;04014
315;Andalucía;ALMERIA;ALSODUX;04015;04;04015
316;Andalucía;ALMERIA;ANTAS;04016;04;04016
317;Andalucía;ALMERIA;ARBOLEAS;04017;04;04017
318;Andalucía;ALMERIA;ARMUÑA DE ALMANZORA;04018;04;04018
319;Andalucía;ALMERIA;BACARES;04019;04;04019
320;Andalucía;ALMERIA;BAYARCAL;04020;04;04020
321;Andalucía;ALMERIA;BAYARQUE;04021;04;04021
322;Andalucía;ALMERIA;BEDAR;04022;04;04022
323;Andalucía;ALMERIA;BEIRES;04023;04;04023
324;Andalucía;ALMERIA;BENAHADUX;04024;04;04024
325;Andalucía;ALMERIA;BENINAR;04025;04;0
326;Andalucía;ALMERIA;BENITAGLA;04026;04;04026
327;Andalucía;ALMERIA;BENIZALON;04027;04;04027
328;Andalucía;ALMERIA;BENTARIQUE;04028;04;04028
329;Andalucía;ALMERIA;BERJA;04029;04;04029
330;Andalucía;ALMERIA;CANJAYAR;04030;04;04030
331;Andalucía;ALMERIA;CANTORIA;04031;04;04031
332;Andalucía;ALMERIA;CARBONERAS;04032;04;04032
333;Andalucía;ALMERIA;CASTRO DE FILABRES;04033;04;04033
334;Andalucía;ALMERIA;COBDAR;04034;04;04034
335;Andalucía;ALMERIA;CUEVAS DEL ALMANZORA;04035;04;04035
336;Andalucía;ALMERIA;CHERCOS;04036;04;04036
337;Andalucía;ALMERIA;CHIRIVEL;04037;04;04037
338;Andalucía;ALMERIA;DALIAS;04038;04;04038
339;Andalucía;ALMERIA;DARRICAL;04039;04;0
340;Andalucía;ALMERIA;TRES VILLAS (LAS);04040;04;04901
341;Andalucía;ALMERIA;ENIX;04041;04;04041
342;Andalucía;ALMERIA;ESCULLAR;04042;04;0
343;Andalucía;ALMERIA;FELIX;04043;04;04043
344;Andalucía;ALMERIA;FINES;04044;04;04044
345;Andalucía;ALMERIA;FIÑANA;04045;04;04045
346;Andalucía;ALMERIA;FONDON;04046;04;04046
347;Andalucía;ALMERIA;GADOR;04047;04;04047
348;Andalucía;ALMERIA;GALLARDOS (LOS);04048;04;04048
349;Andalucía;ALMERIA;GARRUCHA;04049;04;04049
350;Andalucía;ALMERIA;GERGAL;04050;04;04050
351;Andalucía;ALMERIA;HUECIJA;04051;04;04051
352;Andalucía;ALMERIA;HUERCAL DE ALMERIA;04052;04;04052
353;Andalucía;ALMERIA;HUERCAL-OVERA;04053;04;04053
354;Andalucía;ALMERIA;ILLAR;04054;04;04054
355;Andalucía;ALMERIA;INSTINCION;04055;04;04055
356;Andalucía;ALMERIA;LAROYA;04056;04;04056
357;Andalucía;ALMERIA;LAUJAR DE ANDARAX;04057;04;04057
358;Andalucía;ALMERIA;LIJAR;04058;04;04058
359;Andalucía;ALMERIA;LUBRIN;04059;04;04059
