;CodProv;Codigo Provincia;Codigo_Mapa;Comunidad Autónoma;Código;Municipio;Nº alojamientos;Provincia
217;3;3;3059;Comunidad Valenciana;3059;CREVILLENTE;11;ALICANTE
218;3;3;3060;Comunidad Valenciana;3060;QUATRETONDETA;0;ALICANTE
219;3;3;3061;Comunidad Valenciana;3061;DAYA NUEVA;4;ALICANTE
220;3;3;3062;Comunidad Valenciana;3062;DAYA VIEJA;3;ALICANTE
221;3;3;3063;Comunidad Valenciana;3063;DENIA;1;ALICANTE
222;3;3;3064;Comunidad Valenciana;3064;DOLORES;4;ALICANTE
223;3;3;3065;Comunidad Valenciana;3065;ELCHE;32;ALICANTE
224;3;3;3066;Comunidad Valenciana;3066;ELDA;5;ALICANTE
225;3;3;3067;Comunidad Valenciana;3067;FACHECA;1;ALICANTE
226;3;3;3068;Comunidad Valenciana;3068;FAMORCA;2;ALICANTE
227;3;3;3069;Comunidad Valenciana;3069;FINESTRAT;83;ALICANTE
228;3;3;3070;Comunidad Valenciana;3070;FORMENTERA DEL SEGURA;16;ALICANTE
229;3;3;3071;Comunidad Valenciana;3071;GATA DE GORGOS;11;ALICANTE
230;3;3;3072;Comunidad Valenciana;3072;GAIANES;0;ALICANTE
231;3;3;3073;Comunidad Valenciana;3073;GORGA;1;ALICANTE
232;3;3;3074;Comunidad Valenciana;3074;GRANJA DE ROCAMORA;1;ALICANTE
233;3;3;3075;Comunidad Valenciana;3075;GUADALEST;4;ALICANTE
234;3;3;3076;Comunidad Valenciana;3076;GUARDAMAR DEL SEGURA;147;ALICANTE
235;3;3;3077;Comunidad Valenciana;3077;HONDON DE LAS NIEVES;6;ALICANTE
236;3;3;3078;Comunidad Valenciana;3078;HONDON DE LOS FRAILES;3;ALICANTE
237;3;3;3079;Comunidad Valenciana;3079;IBI;4;ALICANTE
238;3;3;3080;Comunidad Valenciana;3080;JACARILLA;2;ALICANTE
239;3;3;3081;Comunidad Valenciana;3081;JALON;17;ALICANTE
240;3;3;3082;Comunidad Valenciana;3082;JAVEA;913;ALICANTE
241;3;3;3083;Comunidad Valenciana;3083;JIJONA;7;ALICANTE
242;3;3;3084;Comunidad Valenciana;3084;LORCHA;0;ALICANTE
243;3;3;3085;Comunidad Valenciana;3085;LLIBER;13;ALICANTE
244;3;3;3086;Comunidad Valenciana;3086;MILLENA;0;ALICANTE
245;3;3;3088;Comunidad Valenciana;3088;MONFORTE DEL CID;6;ALICANTE
246;3;3;3089;Comunidad Valenciana;3089;MONOVAR;2;ALICANTE
247;3;3;3090;Comunidad Valenciana;3090;MUTXAMEL;28;ALICANTE
248;3;3;3091;Comunidad Valenciana;3091;MURLA;6;ALICANTE
249;3;3;3092;Comunidad Valenciana;3092;MURO DE ALCOY;0;ALICANTE
250;3;3;3093;Comunidad Valenciana;3093;NOVELDA;4;ALICANTE
251;3;3;3094;Comunidad Valenciana;3094;NUCIA (LA);0;ALICANTE
252;3;3;3095;Comunidad Valenciana;3095;ONDARA;7;ALICANTE
253;3;3;3096;Comunidad Valenciana;3096;ONIL;6;ALICANTE
254;3;3;3097;Comunidad Valenciana;3097;ORBA;14;ALICANTE
255;3;3;3098;Comunidad Valenciana;3098;ORXETA;0;ALICANTE
256;3;3;3099;Comunidad Valenciana;3099;ORIHUELA;108;ALICANTE
257;3;3;3100;Comunidad Valenciana;3100;PARCENT;7;ALICANTE
258;3;3;3101;Comunidad Valenciana;3101;PEDREGUER;54;ALICANTE
259;3;3;3102;Comunidad Valenciana;3102;PEGO;39;ALICANTE
260;3;3;3103;Comunidad Valenciana;3103;PENAGUILA;1;ALICANTE
261;3;3;3104;Comunidad Valenciana;3104;PETRER;3;ALICANTE
262;3;3;3105;Comunidad Valenciana;3105;PINOSO;0;ALICANTE
263;3;3;3106;Comunidad Valenciana;3106;PLANES;1;ALICANTE
264;3;3;3107;Comunidad Valenciana;3107;POLOP;21;ALICANTE
265;3;3;3109;Comunidad Valenciana;3109;RAFAL;1;ALICANTE
266;3;3;3110;Comunidad Valenciana;3110;RAFOL D'ALMUNIA (EL);0;ALICANTE
267;3;3;3111;Comunidad Valenciana;3111;REDOVAN;2;ALICANTE
268;3;3;3112;Comunidad Valenciana;3112;RELLEU;8;ALICANTE
269;3;3;3113;Comunidad Valenciana;3113;ROJALES;76;ALICANTE
270;3;3;3114;Comunidad Valenciana;3114;ROMANA (LA);0;ALICANTE
271;3;3;3115;Comunidad Valenciana;3115;SAGRA;1;ALICANTE
272;3;3;3116;Comunidad Valenciana;3116;SALINAS;0;ALICANTE
273;3;3;3117;Comunidad Valenciana;3117;SANET Y NEGRALS;4;ALICANTE
274;3;3;3118;Comunidad Valenciana;3118;SAN FULGENCIO;16;ALICANTE
275;3;3;3119;Comunidad Valenciana;3119;SAN JUAN DE ALICANTE;0;ALICANTE
276;3;3;3120;Comunidad Valenciana;3120;SAN MIGUEL DE SALINAS;45;ALICANTE
277;3;3;3121;Comunidad Valenciana;3121;SANTA POLA;227;ALICANTE
278;3;3;3122;Comunidad Valenciana;3122;SAN VICENTE DEL RASPEIG;18;ALICANTE
279;3;3;3123;Comunidad Valenciana;3123;SAX;5;ALICANTE
280;3;3;3124;Comunidad Valenciana;3124;SELLA;3;ALICANTE
281;3;3;3125;Comunidad Valenciana;3125;SENIJA;4;ALICANTE
282;3;3;3901;Comunidad Valenciana;3126;POBLETS (ELS);0;ALICANTE
283;3;3;3127;Comunidad Valenciana;3127;TARBENA;5;ALICANTE
284;3;3;3128;Comunidad Valenciana;3128;TEULADA;90;ALICANTE
285;3;3;3129;Comunidad Valenciana;3129;TIBI;2;ALICANTE
286;3;3;3130;Comunidad Valenciana;3130;TOLLOS;0;ALICANTE
287;3;3;3131;Comunidad Valenciana;3131;TORMOS;7;ALICANTE
288;3;3;3132;Comunidad Valenciana;3132;TORREMANZANAS;2;ALICANTE
289;3;3;3133;Comunidad Valenciana;3133;TORREVIEJA;1520;ALICANTE
